Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Salary
Grae Kessinger,26.0,HOU,AL,-0.4,22.0,25.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.16,0.0,0.16,-48.0,0.111,-42.0,0.0,1.0,1.0,0.0,0.0,0.0,/H546D13,,"$343,140 "
Austin Wynns,33.0,CIN,NL,0.4,7.0,20.0,19.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.368,0.4,0.579,0.979,165.0,0.409,160.0,11.0,0.0,1.0,0.0,0.0,0.0,/2H,,"$914,332 "
Bryce Teodosio,25.0,LAA,AL,-0.2,5.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.083,0.083,0.083,0.167,-52.0,0.141,-24.0,1.0,0.0,0.0,0.0,0.0,0.0,/8DH,,"$87,516 "
Eddy Alvarez,34.0,NYM,NL,0.1,12.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.182,0.0,0.182,-41.0,0.128,-31.0,0.0,0.0,1.0,0.0,0.0,0.0,4/H16,,"$79,560 "
Matt Duffy,33.0,TEX,AL,0.2,4.0,10.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.286,0.5,0.286,0.786,136.0,0.388,156.0,2.0,0.0,1.0,0.0,0.0,0.0,/5H,,"$26,881 "
Michael Helman,28.0,MIN,AL,0.1,9.0,10.0,10.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,0.3,0.5,0.8,119.0,0.329,109.0,5.0,0.0,0.0,0.0,0.0,0.0,/8H759,,"$51,714 "
Liover Peguero,23.0,PIT,NL,-0.1,3.0,10.0,10.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.2,0.2,0.3,0.5,37.0,0.204,17.0,3.0,0.0,0.0,0.0,0.0,0.0,/6,,"$31,824 "
Dustin Harris,24.0,TEX,AL,0.2,2.0,7.0,6.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.333,0.429,1.0,1.429,296.0,0.568,285.0,6.0,0.0,0.0,0.0,0.0,0.0,/D,,"$19,890 "
Luis Castillo,31.0,SEA,AL,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,"$22,750,000 "
Scott McGough,34.0,ARI,NL,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,"$3,000,000 "
Pedro Avila,27.0,CLE,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,"$658,296 "
Brennan Bernardino,32.0,BOS,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,"$680,238 "
Isaiah Campbell,26.0,BOS,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,,"$385,056 "
Danny Coulombe,34.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,"$2,300,000 "
Jeff Criswell,25.0,COL,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,"$155,142 "
